codigo_comuna,comuna,pobreza_casen
1101,IQUIQUE,12.35
1107,ALTO HOSPICIO,16.09
1401,POZO ALMONTE,15.65
1402,CAMIÑA,22.79
1403,COLCHANE,21.09
1404,HUARA,20.3
1405,PICA,16.8
2101,ANTOFAGASTA,8.25
2102,MEJILLONES,12.92
2103,SIERRA GORDA,12.8
2104,TALTAL,13.16
2201,CALAMA,10.6
2202,OLLAGÜE,13.15
2203,SAN PEDRO DE ATACAMA,14.57
2301,TOCOPILLA,8.6
2302,MARÍA ELENA,17.55
3101,COPIAPÓ,8.63
3102,CALDERA,10.31
3103,TIERRA AMARILLA,12.31
3201,CHAÑARAL,10.16
3202,DIEGO DE ALMAGRO,8.32
3301,VALLENAR,10.21
3302,ALTO DEL CARMEN,12.77
3303,FREIRINA,12.83
3304,HUASCO,9.82
4101,LA SERENA,11.59
4102,COQUIMBO,10.76
4103,ANDACOLLO,11.17
4104,LA HIGUERA,15.53
4105,PAIGUANO,12.09
4106,VICUÑA,14
4201,ILLAPEL,11.95
4202,CANELA,14.58
4203,LOS VILOS,14.9
4204,SALAMANCA,9.61
4301,OVALLE,11.12
4302,COMBARBALÁ,13.39
4303,MONTE PATRIA,16.05
4304,PUNITAQUI,14.61
4305,RÍO HURTADO,12.97
5101,VALPARAÍSO,13.34
5102,CASABLANCA,9.6
5103,CONCÓN,8.18
5104,JUAN FERNÁNDEZ,12.29
5105,PUCHUNCAVÍ,13.3
5107,QUINTERO,13.58
5109,VIÑA DEL MAR,10.98
5201,ISLA DE PASCUA,11.75
5301,LOS ANDES,10.32
5302,CALLE LARGA,11.43
5303,RINCONADA,12.12
5304,SAN ESTEBAN,10.75
5401,LA LIGUA,13.23
5402,CABILDO,8.54
5403,PAPUDO,13.52
5404,PETORCA,11.56
5405,ZAPALLAR,8.63
5501,QUILLOTA,10.21
5502,CALERA,13.35
5503,HIJUELAS,13.23
5504,LA CRUZ,8.59
5506,NOGALES,12.46
5601,SAN ANTONIO,11.62
5602,ALGARROBO,9.65
5603,CARTAGENA,18.42
5604,EL QUISCO,11.89
5605,EL TABO,15.11
5606,SANTO DOMINGO,8.33
5701,SAN FELIPE,11.01
5702,CATEMU,11.02
5703,LLAILLAY,12.51
5704,PANQUEHUE,10.68
5705,PUTAENDO,13.47
5706,SANTA MARÍA,12.23
5801,QUILPUÉ,9.27
5802,LIMACHE,10.43
5803,OLMUÉ,15.21
5804,VILLA ALEMANA,9.25
6101,RANCAGUA,8.93
6102,CODEGUA,13.08
6103,COINCO,13.24
6104,COLTAUCO,11.12
6105,DOÑIHUE,9.17
6106,GRANEROS,10.27
6107,LAS CABRAS,11.16
6108,MACHALÍ,6.98
6109,MALLOA,11.87
6110,MOSTAZAL,12.73
6111,OLIVAR,11
6112,PEUMO,9.22
6113,PICHIDEGUA,11.56
6114,QUINTA DE TILCOCO,13.12
6115,RENGO,10.54
6116,REQUINOA,10.49
6117,SAN VICENTE,9.24
6201,PICHILEMU,10.8
6202,LA ESTRELLA,7.52
6203,LITUECHE,12.21
6204,MARCHIHUE,10.89
6205,NAVIDAD,14.37
6206,PAREDONES,13.58
6301,SAN FERNANDO,8.94
6302,CHÉPICA,13.96
6303,CHIMBARONGO,10.68
6304,LOLOL,14.38
6305,NANCAGUA,12.75
6306,PALMILLA,10.08
6307,PERALILLO,11.46
6308,PLACILLA,12.73
6309,PUMANQUE,13.09
6310,SANTA CRUZ,7.67
7101,TALCA,10.83
7102,CONSTITUCIÓN,11.21
7103,CUREPTO,12.76
7104,EMPEDRADO,16.42
7105,MAULE,12.66
7106,PELARCO,14.27
7107,PENCAHUE,12.43
7108,RÍO CLARO,12.68
7109,SAN CLEMENTE,14.99
7110,SAN RAFAEL,13.07
7201,CAUQUENES,13.12
7202,CHANCO,15.72
7203,PELLUHUE,15.72
7301,CURICÓ,10.11
7302,HUALAÑÉ,12.78
7303,LICANTÉN,13.12
7304,MOLINA,13.02
7305,RAUCO,14.02
7306,ROMERAL,12.05
7307,SAGRADA FAMILIA,11.28
7308,TENO,12.73
7309,VICHUQUÉN,14.07
7401,LINARES,10.94
7402,COLBÚN,14.81
7403,LONGAVÍ,16.42
7404,PARRAL,14.01
7405,RETIRO,17.05
7406,SAN JAVIER,12.93
7407,VILLA ALEGRE,16.21
7408,YERBAS BUENAS,16.7
8101,CONCEPCIÓN,10.93
8102,CORONEL,13.82
8103,CHIGUAYANTE,10.87
8104,FLORIDA,15.92
8105,HUALQUI,17.24
8106,LOTA,14.45
8107,PENCO,12.51
8108,SAN PEDRO DE LA PAZ,12.21
8109,SANTA JUANA,13.83
8110,TALCAHUANO,11.47
8111,TOMÉ,13.81
8112,HUALPÉN,10.38
8201,LEBU,17.28
8202,ARAUCO,13.05
8203,CAÑETE,18.66
8204,CONTULMO,16.83
8205,CURANILAHUE,13.68
8206,LOS ÁLAMOS,16.94
8207,TIRÚA,21.3
8301,LOS ÁNGELES,13.46
8302,ANTUCO,14.72
8303,CABRERO,13.35
8304,LAJA,13.52
8305,MULCHÉN,16.48
8306,NACIMIENTO,14.58
8307,NEGRETE,15.17
8308,QUILACO,19.7
8309,QUILLECO,18.35
8310,SAN ROSENDO,18.26
8311,SANTA BÁRBARA,19.62
8312,TUCAPEL,14.36
8313,YUMBEL,16.5
8314,ALTO BIOBÍO,28.93
9101,TEMUCO,14.79
9102,CARAHUE,22.87
9103,CUNCO,20.74
9104,CURARREHUE,24.76
9105,FREIRE,18.79
9106,GALVARINO,23.78
9107,GORBEA,19.08
9108,LAUTARO,18.53
9109,LONCOCHE,16.81
9110,MELIPEUCO,18.33
9111,NUEVA IMPERIAL,19.98
9112,PADRE LAS CASAS,18.87
9113,PERQUENCO,18.68
9114,PITRUFQUÉN,15.91
9115,PUCÓN,15.27
9116,SAAVEDRA,22.32
9117,TEODORO SCHMIDT,21.79
9118,TOLTÉN,19.62
9119,VILCÚN,17.21
9120,VILLARRICA,15.14
9121,CHOLCHOL,23.31
9201,ANGOL,14.87
9202,COLLIPULLI,19.63
9203,CURACAUTÍN,20.12
9204,ERCILLA,23.67
9205,LONQUIMAY,22.42
9206,LOS SAUCES,15.48
9207,LUMACO,21.72
9208,PURÉN,21.54
9209,RENAICO,17.84
9210,TRAIGUÉN,18.21
9211,VICTORIA,17.92
10101,PUERTO MONTT,10.47
10102,CALBUCO,11.28
10103,COCHAMÓ,17.08
10104,FRESIA,19.1
10105,FRUTILLAR,12.08
10106,LOS MUERMOS,16.55
10107,LLANQUIHUE,12.32
10108,MAULLÍN,13.13
10109,PUERTO VARAS,8.43
10201,CASTRO,9.03
10202,ANCUD,12.06
10203,CHONCHI,13.3
10204,CURACO DE VÉLEZ,14.63
10205,DALCAHUE,11.79
10206,PUQUELDÓN,10.68
10207,QUEILÉN,14.12
10208,QUELLÓN,11.94
10209,QUEMCHI,10.04
10210,QUINCHAO,14.3
10301,OSORNO,10.53
10302,PUERTO OCTAY,13.83
10303,PURRANQUE,11.55
10304,PUYEHUE,14.67
10305,RÍO NEGRO,13.32
10306,SAN JUAN DE LA COSTA,22.25
10307,SAN PABLO,12.27
10401,CHAITÉN,10.26
10402,FUTALEUFÚ,13.48
10403,HUALAIHUÉ,12.85
10404,PALENA,12.92
11101,COYHAIQUE,5.85
11102,LAGO VERDE,6.08
11201,AYSÉN,6.93
11202,CISNES,8.29
11203,GUAITECAS,7.37
11301,COCHRANE,9.86
11302,O´HIGGINS,1.41
11303,TORTEL,5.94
11401,CHILE CHICO,6.33
11402,RÍO IBÁÑEZ,14.65
12101,PUNTA ARENAS,5.37
12102,LAGUNA BLANCA,4.93
12103,RÍO VERDE,13.13
12104,SAN GREGORIO,7.78
12201,CABO DE HORNOS,3.11
12301,PORVENIR,8.33
12302,PRIMAVERA,8.49
12303,TIMAUKEL,5.2
12401,NATALES,6.51
12402,TORRES DEL PAINE,6.84
13101,SANTIAGO,8.43
13102,CERRILLOS,8.99
13103,CERRO NAVIA,12.87
13104,CONCHALÍ,12.44
13105,EL BOSQUE,12.56
13106,ESTACIÓN CENTRAL,11.68
13107,HUECHURABA,8.25
13108,INDEPENDENCIA,13.93
13109,LA CISTERNA,7.8
13110,LA FLORIDA,8.04
13111,LA GRANJA,11.95
13112,LA PINTANA,15.31
13113,LA REINA,4.7
13114,LAS CONDES,2.79
13115,LO BARNECHEA,5.5
13116,LO ESPEJO,14.39
13117,LO PRADO,13.72
13118,MACUL,6.96
13119,MAIPÚ,7.04
13120,ÑUÑOA,3.98
13121,PEDRO AGUIRRE CERDA,11.7
13122,PEÑALOLÉN,10.61
13123,PROVIDENCIA,3.64
13124,PUDAHUEL,8.89
13125,QUILICURA,8.54
13126,QUINTA NORMAL,9.17
13127,RECOLETA,13.24
13128,RENCA,10.16
13129,SAN JOAQUÍN,11.79
13130,SAN MIGUEL,5.34
13131,SAN RAMÓN,13.12
13132,VITACURA,3.33
13201,PUENTE ALTO,7.99
13202,PIRQUE,9.25
13203,SAN JOSÉ DE MAIPO,9.24
13301,COLINA,8.58
13302,LAMPA,10.2
13303,TILTIL,10.05
13401,SAN BERNARDO,10.68
13402,BUIN,8.51
13403,CALERA DE TANGO,9.24
13404,PAINE,11.04
13501,MELIPILLA,9.12
13502,ALHUÉ,7.2
13503,CURACAVÍ,9.55
13504,MARÍA PINTO,10.29
13505,SAN PEDRO,13.26
13601,TALAGANTE,8.86
13602,EL MONTE,11.74
13603,ISLA DE MAIPO,11.46
13604,PADRE HURTADO,9.02
13605,PEÑAFLOR,8.98
14101,VALDIVIA,9.8
14102,CORRAL,15.43
14103,LANCO,14.26
14104,LOS LAGOS,14.53
14105,MÁFIL,15.5
14106,MARIQUINA,14.81
14107,PAILLACO,14.76
14108,PANGUIPULLI,14.07
14201,LA UNIÓN,12.5
14202,FUTRONO,15.87
14203,LAGO RANCO,13.59
14204,RÍO BUENO,13.57
15101,ARICA,11.76
15102,CAMARONES,22.79
15201,PUTRE,20.44
15202,GENERAL LAGOS,25.79
16101,CHILLÁN,13.73
16102,BULNES,15.37
16103,CHILLÁN VIEJO,14.59
16104,EL CARMEN,17.08
16105,PEMUCO,16.47
16106,PINTO,15.86
16107,QUILLÓN,16.77
16108,SAN IGNACIO,18.67
16109,YUNGAY,11.35
16201,QUIRIHUE,14.89
16202,COBQUECURA,19.18
16203,COELEMU,12.57
16204,NINHUE,14.03
16205,PORTEZUELO,17.39
16206,RÁNQUIL,15.26
16207,TREHUACO,18.93
16301,SAN CARLOS,14.49
16302,COIHUECO,16.65
16303,ÑIQUÉN,19.18
16304,SAN FABIÁN,18.68
