comuna,apruebo_p22,rechazo_p22,byn_p22,novoto_p22
ALGARROBO,0.32088104624241287,0.5537200425505288,0.02064952130655153,0.10474938990050685
ALHUE,0.29779169413315754,0.5379037574159525,0.02290705339485827,0.14139749505603164
ALTO BIOBIO,0.22984531392174704,0.5941765241128298,0.04222020018198362,0.1337579617834395
ALTO DEL CARMEN,0.26458832933653076,0.5353717026378897,0.02018385291766587,0.17985611510791366
ALTO HOSPICIO,0.2293506327903344,0.5918422646561893,0.019940068220217412,0.15886703433325894
ANCUD,0.2662085062240664,0.5639522821576763,0.018983402489626554,0.1508558091286307
ANDACOLLO,0.3932634198364735,0.4614290792747956,0.025595449697831497,0.1197120511908994
ANGOL,0.16630355846042122,0.6845444059976932,0.01497287368106284,0.13417916186082277
ANTOFAGASTA,0.31922326775021387,0.4942343883661249,0.019993156544054747,0.1665491873396065
ANTUCO,0.20428015564202334,0.5747946389969736,0.020103761348897537,0.2008214440121055
ARAUCO,0.21961484504527484,0.666177783445989,0.019417166177783447,0.09479020533095268
ARICA,0.26143349580643743,0.519002766433935,0.023371975585122735,0.1961917621745049
AYSEN,0.26280485096175205,0.4583092710230554,0.016303140686775353,0.2625827373284172
BUIN,0.34161147224713995,0.5622212118605537,0.01725260816672606,0.0789147077255803
BULNES,0.2025862068965517,0.6571360153256705,0.019204980842911876,0.1210727969348659
CABILDO,0.3500806765704112,0.5306292772492072,0.021198464363211485,0.0980915818171702
CABO DE HORNOS,0.17376093294460643,0.4740524781341108,0.0011661807580174927,0.3510204081632653
CABRERO,0.17653670258119525,0.7149833346252229,0.01798310208510968,0.09049686070847221
CALAMA,0.2318748842092262,0.5579880195146051,0.01939109491755697,0.19074600135861175
CALBUCO,0.20624829715738807,0.5831138558411285,0.019768110677201585,0.19086973632428178
CALDERA,0.38757032917286427,0.4526935264825713,0.019142469119834443,0.14059367522473
CALERA,0.3707310535837931,0.48354961917312544,0.022201871747336444,0.12351745549574501
CALERA DE TANGO,0.31256347979686466,0.5853830867741223,0.01766394347538088,0.08438948995363214
CALLE LARGA,0.3221178050008391,0.5720758516529619,0.018039939587179057,0.08776640375901996
CAMARONES,0.2130597014925373,0.4735074626865672,0.014179104477611941,0.2992537313432836
CAMINA,0.08490962589323245,0.6019335855401429,0.008827238335435058,0.30432955023118957
CANELA,0.3737254481056134,0.4414511108725985,0.021680798540302672,0.16314264248148547
CANETE,0.18918463611859837,0.668733153638814,0.017756064690026954,0.12432614555256065
CARAHUE,0.19415849673202615,0.5947712418300654,0.017606209150326797,0.1934640522875817
CARTAGENA,0.3549324496558756,0.5061432577109355,0.02136120316084629,0.11756308947234259
CASABLANCA,0.2912837173513444,0.5823964433804985,0.02205788056256145,0.1042619587055957
CASTRO,0.298010257384367,0.4973406781270776,0.019565010922214836,0.18508405356634058
CATEMU,0.2950348789495281,0.5986048420188756,0.01961427985227739,0.08674599917931883
CAUQUENES,0.1584534345838124,0.7113024412417445,0.015321265274472579,0.11492285889997059
CERRILLOS,0.3935118592195868,0.4615302218821729,0.017888293802601377,0.12706962509563888
CERRO NAVIA,0.41676966520213277,0.4509351064117716,0.01941484802829227,0.11288038035780337
CHAITEN,0.17534190651153297,0.4594815268422127,0.01653398652786283,0.3486425801183915
CHANCO,0.1741725447639718,0.7103635377102551,0.015518176885512752,0.09994574064026045
CHANARAL,0.38531715293915136,0.40709183234357516,0.019020569756433427,0.18857044496084
CHEPICA,0.2173194394538268,0.6945742005030543,0.016960114983830397,0.07114624505928854
CHIGUAYANTE,0.3435585513137309,0.5392803357068706,0.02180047665696782,0.09536063632243066
CHILE CHICO,0.2246354328265591,0.3022029165373875,0.012100527458889234,0.46106112317716413
CHILLAN,0.27502549858555014,0.5954930047276623,0.015947039918917705,0.11353445676786986
CHILLAN VIEJO,0.2625469296163639,0.6346610279204247,0.016916238726103656,0.08587580373710785
